시도,시군구,해수욕장명,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
제주특별자치도,서귀포시,표선,112200 ,2800 ,103770 ,42750 ,75820 ,52410 ,45000 ,58720 ,31860 ,47080 
제주특별자치도,서귀포시,화순금모래,75300 ,900 ,68490 ,11035 ,37670 ,23149 ,23160 ,44660 ,34840 ,14230 
제주특별자치도,제주시,곽지,202000 ,257250 ,257200 ,277930 ,235000 ,77087 ,83510 ,98997 ,77260 ,30919 
제주특별자치도,제주시,금능,136250 ,232600 ,301800 ,243850 ,213950 ,111900 ,95618 ,117350 ,125350 ,111570 
제주특별자치도,제주시,김녕,69800 ,83450 ,47271 ,71589 ,87169 ,83355 ,56590 ,50100 ,57275 ,56775 
제주특별자치도,제주시,삼양,166880 ,207210 ,244650 ,211650 ,48551 ,31720 ,41120 ,41400 ,54114 ,68135 
제주특별자치도,제주시,월정,0 ,0 ,0 ,0 ,0 ,0 ,28250 ,41180 ,89751 ,32800 
제주특별자치도,제주시,이호테우,526000 ,616800 ,438700 ,364090 ,259690 ,64670 ,109414 ,170220 ,114800 ,70627 
제주특별자치도,제주시,함덕,643940 ,977900 ,413020 ,717300 ,402869 ,345740 ,223854 ,290280 ,231937 ,425595 
제주특별자치도,제주시,협재,646500 ,957140 ,641880 ,414640 ,346910 ,130800 ,105252 ,227900 ,136343 ,145721 
충청남도,당진시,난지섬,18444 ,14757 ,12767 ,7565 ,6235 ,8584 ,7728 ,6910 ,4338 ,5389 
충청남도,당진시,왜목마을,71483 ,116183 ,171090 ,43989 ,73414 ,55252 ,104048 ,94156 ,80096 ,88612 
충청남도,보령시,대천,9113800 ,12477000 ,13507283 ,9491826 ,6630000 ,2945100 ,2811030 ,4838800 ,5744241 ,5641418 
충청남도,보령시,무창포,1019840 ,1054400 ,941900 ,165600 ,165400 ,240860 ,326126 ,279863 ,343117 ,502755 
충청남도,서천군,춘장대,2175550 ,1952450 ,1613100 ,821000 ,278000 ,371752 ,170063 ,188672 ,194450 ,367314 
충청남도,태안군,갈음이,27250 ,68190 ,34135 ,33850 ,41385 ,21935 ,8100 ,9360 ,6400 ,3220 
충청남도,태안군,곰섬,29940 ,53250 ,31260 ,30535 ,24880 ,18605 ,6200 ,7085 ,0 ,0 
충청남도,태안군,구례포,39805 ,56240 ,32130 ,120 ,39295 ,25180 ,11165 ,12140 ,6845 ,2245 
충청남도,태안군,구름포,43840 ,58250 ,36000 ,110 ,38705 ,21655 ,5380 ,6560 ,3100 ,2145 
충청남도,태안군,기지포,50830 ,68590 ,37135 ,350 ,46935 ,32635 ,13590 ,14550 ,7470 ,4060 
충청남도,태안군,꽃지,200285 ,260300 ,186280 ,215622 ,258090 ,156700 ,207000 ,291310 ,395070 ,409430 
충청남도,태안군,꾸지나무골,20970 ,40420 ,32085 ,32085 ,36400 ,19760 ,8695 ,9465 ,5165 ,3720 
충청남도,태안군,달산포,40250 ,63610 ,34450 ,46103 ,37770 ,33750 ,9095 ,10382 ,7175 ,6540 
충청남도,태안군,마검포,51850 ,73630 ,34870 ,53450 ,37885 ,28545 ,12230 ,13325 ,7750 ,6095 
충청남도,태안군,만리포,356700 ,416100 ,387420 ,386740 ,546350 ,361630 ,427950 ,497435 ,578280 ,695210 
충청남도,태안군,몽산포,220670 ,203150 ,183030 ,202283 ,203180 ,181430 ,168390 ,243170 ,319570 ,215860 
충청남도,태안군,바람아래,17260 ,51670 ,33575 ,34168 ,33660 ,24280 ,6395 ,6725 ,4440 ,2005 
충청남도,태안군,밧개,42800 ,65910 ,30335 ,46348 ,38325 ,36635 ,15705 ,17115 ,5070 ,2155 
충청남도,태안군,방주골(백리포),38410 ,43500 ,29965 ,37292 ,33115 ,21975 ,4755 ,5390 ,2180 ,2085 
충청남도,태안군,방포,83440 ,76320 ,36885 ,65548 ,45350 ,32910 ,17370 ,17600 ,13590 ,8475 
충청남도,태안군,백사장,64140 ,80970 ,38080 ,61063 ,48892 ,27210 ,11050 ,13630 ,6900 ,2100 
충청남도,태안군,삼봉,142041 ,104612 ,54070 ,100241 ,114905 ,61400 ,33721 ,44210 ,45550 ,32130 
충청남도,태안군,샛별,39930 ,66950 ,34270 ,47050 ,37945 ,25940 ,14625 ,17472 ,7620 ,7260 
충청남도,태안군,신두리,100790 ,127790 ,68255 ,98945 ,90920 ,65730 ,32860 ,39030 ,35310 ,33390 
충청남도,태안군,안면,48810 ,69540 ,32635 ,50328 ,39115 ,29275 ,15065 ,17060 ,6970 ,2520 
충청남도,태안군,어은돌,29540 ,59520 ,34730 ,41263 ,34560 ,22235 ,20450 ,21910 ,16795 ,8640 
충청남도,태안군,연포,84670 ,97110 ,53570 ,78450 ,81530 ,50660 ,17828 ,24625 ,31190 ,48330 
충청남도,태안군,의항,40140 ,47640 ,31070 ,39617 ,35565 ,23810 ,7765 ,8361 ,3580 ,2245 
충청남도,태안군,장삼포,19800 ,52600 ,29910 ,34103 ,35000 ,21255 ,9520 ,10785 ,4385 ,2020 
충청남도,태안군,천리포,97130 ,115430 ,50820 ,87793 ,68710 ,44385 ,24400 ,30255 ,15610 ,20955 
충청남도,태안군,청포대,94690 ,92230 ,50005 ,78975 ,61073 ,46685 ,20560 ,23920 ,19235 ,37770 
충청남도,태안군,파도리,27710 ,51890 ,33205 ,37602 ,35900 ,26795 ,10950 ,14080 ,9635 ,18060 
충청남도,태안군,학암포,70970 ,74050 ,55910 ,66977 ,71910 ,52570 ,21410 ,31990 ,36605 ,33030 
